"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2  - Daily Ice Area by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
1854196,9668740.92,897259.38,762017.7,992878.61,716025.61,617567.56,302546.52,580054.11,397338.97,657747.9,446240.44,3144317.34,86718.11,0,67963.07,0,0
1854227,8410398.26,880019.27,715643.45,940419.57,621469.81,411332.91,178771.29,534222.12,181855.06,588022.08,155336.92,3172818.46,16972.41,0,13449.33,0,0
1854258,5947625.4,606787.91,417793.26,587220.15,408273.61,202756.01,35092.67,275797.02,49754.78,457671.46,49080.19,2854139.55,0,0,3197.12,0,0
1854288,5917329.74,605963,388194.5,587348.17,408273.61,202756.01,35092.67,275797.02,49754.78,457671.46,49080.19,2854139.55,0,0,3197.12,0,0
1854319,10575079.5,1058948.95,811521.6,1081183.74,890850.38,853496.14,394688.4,533465.04,534957.68,860424.01,274265.1,3187061.2,58528.96,0,35622.7,0,0
1854349,12795045.08,1059135.69,953163.06,1084544.06,890296.26,924489.42,557024.44,586286.42,838664.55,860379.06,1230357.08,3196318.61,328350.24,2803.72,283166.86,0,0
1855015,14460637.47,1058304.13,954143.07,1084892.65,888422.14,934198.94,782027.27,578685.43,1462137.5,857207.92,1265290.92,3194382.72,650249.4,56371.92,694224.05,0,0
1855046,15244023.72,1055852.68,956121.52,1083984.1,889562.73,931979.57,787141.67,647346.62,1806654.29,857016.73,1264313.5,3201108.15,753715.23,129808.2,878296.25,0,0
1855074,14343810.5,1055709.6,952962.19,1084823.24,884426.28,913477.37,714300.15,740656.29,1329771.79,855754.97,1254505.46,3210752.26,762967.03,53080.72,530492.57,0,64.96
1855105,14019343.9,1040560.51,939147.09,1085321.68,884007.59,916076.61,717313.23,737069.46,1204736.78,851795.86,1209362.27,3208145,728036.01,50231.13,447410.12,0,64.96
1855135,13465434.68,1037700.82,938129.57,1084305.91,881044.4,902883.56,678879.52,686162.23,1011095.09,841817.55,1146972.81,3203782.94,736952.02,15626.42,299981.6,0,34.65
1855166,11899698.17,988171.06,851883.02,1070307.84,841448.23,828493.44,486695.22,605802.1,841967.76,802930.79,952589.75,3194579.09,330902.79,0,103861.5,0,0
1855196,10078505.88,953504.11,788049.39,1023445.54,787950.28,657493.3,345339.95,493345.99,422327.19,712051.34,482987.47,3171682.54,152600.42,0,87662.76,0,0
1855227,8226416.94,885289.58,721826.8,941128.93,621469.81,411332.91,177466.84,342270.88,181855.06,588022.08,149988.74,3149928.69,42321.71,0,13449.33,0,0
1855258,7265635.01,879100.53,678015.99,882953.17,492448.07,203124.58,80888.57,280193.5,76425.65,547614.88,63389.59,3067917.48,13500.02,0,0,0,0
1855288,8622311.95,1006256.14,698413.43,1072666.7,879159.35,476054.15,149225.73,333435.28,98741.33,729004.63,45465.3,3128630.12,3797.57,91.9,1304.73,0,0
1855319,10692586.16,1059306.62,883769.41,1084675.89,891659.49,860756.57,403358.33,487629.13,528474.2,861348.11,339381.83,3185027.28,85901.41,0,21232.28,0,0
1855349,12836631.59,1060125.13,953887.6,1085607.24,890188.37,888788.18,589712.7,639982.65,810055.3,861161.32,1162090.22,3195308.46,366875.51,28227.12,304556.2,0,0
1856015,14460615.33,1058304.13,954143.07,1084892.65,888422.14,934198.94,782023.1,578685.43,1462137.5,857207.92,1265290.92,3194368.65,650245.5,56371.92,694224.05,0,0
1856046,15244025.21,1055852.68,956121.52,1083984.1,889564.22,931979.57,787141.67,647346.62,1806654.29,857016.73,1264313.5,3201108.15,753715.23,129808.2,878296.25,0,0
1856075,14235623.35,1055689.62,955508.02,1085420.73,886199.66,913775.89,721878.56,738848.36,1296079.9,855278.64,1255631.25,3204024.97,701189.47,49289.34,516691.36,0,51.97
1856106,13949240.08,1047562.09,945420.84,1085189.99,885945.42,912586.35,689978.86,739271.98,1202587.73,850160.82,1213290.93,3204838.28,696194.87,45147.3,430938.39,0,60.63
1856136,13409581.35,1029188.79,928476.73,1082710.96,880355.97,909968.01,644919.23,729397.97,1043678.38,837093.04,1126746.51,3205023.3,747198.63,6152.06,238554.19,0,51.97
1856167,12033243.8,983738.48,833420.66,1071401.2,847199.74,831721.04,486111.15,656481.39,869859.9,811048.35,972419.03,3195382.94,371963.37,0,102430.95,0,0
1856197,10197447.67,955315.76,770082.22,1025817.57,785164.63,649451.92,337302.52,648935.44,423719.13,706925.52,468267.15,3177747.02,169694.87,0,78958.34,0,0
1856228,8128191.84,888662.7,672827.28,913046.77,628224.76,343771.38,70625.87,503199.99,169121.76,580348.55,143809.06,3163961.1,35117.61,0,15409.38,0,0
1856259,7080237.16,847954.9,698942.15,838461.88,466867.08,194289.81,65963.25,273401.84,54561.63,526064.13,61284.15,3047833.24,4549.46,0,0,0,0
1856289,7890400.4,920621.79,548609.83,941773.54,665247.04,432358.81,156703.3,258552.89,295118,695007.8,55513.32,2919450.69,1384.34,0,0,0,0
1856320,10853965.76,1055720.05,712907.38,1083838.06,891641.81,786750.43,378801.89,475386.54,710417.07,860970.25,667169.55,3183176.2,25509.16,0,21611.77,0,0
1856350,12927212.74,1058918.29,956555.87,1080454.05,890524.96,927879.65,611580.88,626068.72,998955.87,861108.11,1202352.42,3195935.47,277084.19,29763.18,209966.14,0,0
1857015,14269700.63,1058700.39,953144.65,1084324.71,888646.75,931562.13,789079.14,601817.29,1415681.38,857466.74,1265083.15,3194173.41,596290.91,82501.93,551128.63,0,0
1857046,15249728.89,1057672.88,956605,1084132.01,891608.93,935085.91,860461.91,681446.56,1801863.09,856592.57,1264836.72,3200383.91,684259.53,180025.14,793632.25,0,0
