"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2 - Daily Ice Extent by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
1853196,12957061.38,1061907.23,860845.8,1085864.77,887148.51,914147.47,564157.08,1011772.53,904211.45,840715.85,1142640.48,3215959.05,239082.12,0,228543.44,0,0
1853227,11115233.13,1061635.32,835348.04,1081324.43,858889.11,803807.67,457638.55,724278.15,744997.4,853668.87,426742.67,3215959.05,50878.28,0,0,0,0
1853258,9512682.65,1028231.65,758252.57,1059159.81,885436.68,460787.29,277215.37,466663.25,283357.33,850062.33,206508.75,3212228.95,24713.07,0,0,0,0
1853288,10406938.79,1061907.23,859734.01,1085864.77,892614.79,797621.29,361365.7,475644.81,530001.96,862812.22,236250.15,3215959.05,15432.32,0,11664.87,0,0
1853319,11768572.24,1061363.42,954516.87,1085864.77,892614.79,937165.12,573947.62,625977.67,786278.81,864497.59,602792.82,3212980.26,170506.92,0,0,0,0
1853349,14081379.04,1061363.42,958779.67,1085864.77,892614.79,937165.12,726036.77,913453.58,1126903.22,864497.59,1267354.07,3216316.32,643038.41,30787.57,357138.14,0,0
1854015,15614072.64,1061363.42,958779.67,1085864.77,892614.79,937165.12,926679.01,759101.15,1771349.13,864497.59,1267354.07,3216316.32,792889.09,109779.71,970253.21,0,0
1854046,16585731.47,1061363.42,958779.67,1085864.77,892614.79,937165.12,970161.48,877561.69,2117098.6,864497.59,1267354.07,3216316.32,932093.1,236240,1166812.43,0,0
1854074,16476108.35,1061907.23,958779.67,1085864.77,887794.9,929222.72,1013691.46,1268285.81,1790092.49,863327.56,1265801.17,3216316.32,1255975.17,158065.57,720917.91,0,0
1854105,16331430.52,1061907.23,958779.67,1085864.77,888012.52,929222.72,1063670.2,1310377.25,1610214.25,863327.56,1265801.17,3216316.32,1223830.83,153722.7,700317.73,0,0
1854135,15585723.95,1061635.32,958779.67,1085864.77,887346.74,922429.62,1067486.95,1018486.3,1445899.69,846741.4,1264245.19,3216316.32,1347348.71,0,463077.66,0,0
1854166,14458069.15,1061907.23,935350.62,1085864.77,888012.52,925237.15,793899.21,1040841.49,1280658.87,863327.56,1266116.68,3216316.32,859128.42,0,241342.7,0,0
1854196,12999608.75,1061907.23,946230.33,1085864.77,887148.51,913562.9,566678.6,1042871.59,892210.93,828682.68,1134131.58,3215959.05,203409.49,0,220885.52,0,0
1854227,10864429.2,1061907.23,943789.16,1085592.86,873051.21,772411.05,414792.09,907454.68,446704.92,789808.94,280983.15,3215959.05,43070.04,0,28839.23,0,0
1854258,8785011.98,1000924.36,694782.79,911486.43,763620.27,340513.63,88234.19,726257.47,80699.27,815593.71,148288.51,3214545.75,0,0,0,0,0
1854288,8747545.26,998964.94,659003.58,911758.33,763620.27,340513.63,88234.19,726257.47,80699.27,815593.71,148288.51,3214545.75,0,0,0,0,0
1854319,11562610.39,1061363.42,958779.67,1085864.77,892614.79,933589.54,607215.79,673494.3,628152.57,864497.59,399434.5,3216316.32,155856.82,0,85364.72,0,0
1854349,13909590.39,1061363.42,958779.67,1085864.77,892614.79,937165.12,803891.71,752323.01,960036.08,864497.59,1267354.07,3216316.32,585916.55,10038.11,513363.59,0,0
1855015,15614072.64,1061363.42,958779.67,1085864.77,892614.79,937165.12,926679.01,759101.15,1771349.13,864497.59,1267354.07,3216316.32,792889.09,109779.71,970253.21,0,0
